,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,title,features,quality,price,popularity,category,latitude,longitude,address,link
833,833,833,833,833,833,833,833,833,833,Davis Paintball,"{'donation': 116, 'rental': 54, 'community': 48, 'generous': 41, 'raffle': 16, 'prize': 9, 'elementary school': 8, 'charity': 5, 'animal': 5, 'education': 5}",4.7,0,329,Paintball center,38.578004,-121.739239,"24998 Co Rd 102, Davis, CA 95618",https://www.google.com/maps/place/Davis+Paintball/data=!4m2!3m1!1s0x8084bc2400000001:0xfc49e29eef404170!10m1!1e1
834,834,834,834,834,834,834,834,834,834,TAG Paintball,"{'party': 23, 'safety': 17, 'players': 13, 'course': 10, 'laser tag': 9, 'rental': 9, 'referee': 9, 'competition': 7, 'snacks': 5, 'respectful': 5}",4.8,0,384,Paintball center,36.828793,-121.402497,"2120 San Benito St, Hollister, CA 95023",https://www.google.com/maps/place/TAG+Paintball/data=!4m2!3m1!1s0x80921d767263f8bf:0xd0cea59c50b426ca!10m1!1e1
835,835,835,835,835,835,835,835,835,835,Gamepod Combat Zone,"{'players': 16, 'refs': 12, 'games': 10, 'CQB': 9, 'price': 8, 'buildings': 6, 'engagement': 5, 'money': 5, 'skills': 4, 'grenade': 3}",4.4,0,158,Airsoft supply store,38.01725,-121.824709,"1400 W 4th St #2, Antioch, CA 94509",https://www.google.com/maps/place/Gamepod+Combat+Zone/data=!4m2!3m1!1s0x808559ea4cc12711:0x5889449ffccb1f44!10m1!1e1
836,836,836,836,836,836,836,836,836,836,Santa Clara Paintball,"{'referee': 58, 'rental': 21, 'party': 19, 'players': 18, 'laser tag': 18, 'gun': 12, 'job': 11, 'pay': 9, 'bruises': 7, 'face': 5}",4.5,0,640,Paintball center,37.298997,-121.853686,"Fairgrounds Gate D, 2542 Monterey Rd, San Jose, CA 95111",https://www.google.com/maps/place/Santa+Clara+Paintball/data=!4m2!3m1!1s0x808e32fc4d610b5d:0xaa86e203b71285d8!10m1!1e1
837,837,837,837,837,837,837,837,837,837,Tilden Park Golf Course,"{'tee': 13, 'shape': 13, 'price': 13, 'management': 7, 'players': 6, 'condition': 5, 'pro shop': 4, 'redwoods': 3, 'elevation': 3, 'area': 3}",4.1,0,301,Golf course,37.889607,-122.241865,"10 Golf Course Dr, Berkeley, CA 94708",https://www.google.com/maps/place/Tilden+Park+Golf+Course/data=!4m2!3m1!1s0x80857c10273083cd:0xf9d0deebe01e3a11!10m1!1e1
838,838,838,838,838,838,838,838,838,838,Monarch Bay Golf Club,"{'wind': 24, 'price': 17, 'links course': 16, 'shape': 15, 'bunkers': 6, 'footgolf': 5, 'solid': 5, 'tee': 5, 'sand': 5, 'players': 4}",4.1,0,386,Golf course,37.694999,-122.185248,"13800 Monarch Bay Dr, San Leandro, CA 94577",https://www.google.com/maps/place/Monarch+Bay+Golf+Club/data=!4m2!3m1!1s0x808f8552703af0f7:0x1afadc57e5b7f5ea!10m1!1e1
839,839,839,839,839,839,839,839,839,839,Richmond Golf Club,"{'party': 4, 'weather': 3, 'shape': 3}",4.5,0,170,Country club,37.987374,-122.34794,"1 Markovich Ln, Richmond, CA 94806",https://www.google.com/maps/place/Richmond+Golf+Club/data=!4m2!3m1!1s0x8085762e86ac964d:0xa528ab39ec4ca21c!10m1!1e1
840,840,840,840,840,840,840,840,840,840,Claremont Country Club,"{'greens': 3, 'parties': 3}",4.6,0,142,Country club,37.836484,-122.247515,"5295 Broadway Terrace #15, Oakland, CA 94618",https://www.google.com/maps/place/Claremont+Country+Club/data=!4m2!3m1!1s0x80857d92d3808d29:0x1a4e591d9171fbdd!10m1!1e1
841,841,841,841,841,841,841,841,841,841,Tony Lema Golf Course,"{'price': 8, 'shape': 7, 'walk': 6, 'wind': 6, 'tee': 6, 'geese': 3}",4.3,0,134,Golf course,37.687854,-122.178153,"13800 Monarch Bay Dr, San Leandro, CA 94577",https://www.google.com/maps/place/Tony+Lema+Golf+Course/data=!4m2!3m1!1s0x808f85531a7bd309:0xbce6a5038a7d9506!10m1!1e1
842,842,842,842,842,842,842,842,842,842,Montclair Golf Enterprises,"{'prices': 12, 'burger': 7, 'drinks': 7, 'pitch and putt': 4, 'bucket': 4, 'mats': 3, 'hole': 3, 'course': 3, 'parking': 3, 'area': 3}",4.4,0,217,Golf club,37.818645,-122.208422,"2477 Monterey Blvd, Oakland, CA 94611",https://www.google.com/maps/place/Montclair+Golf+Enterprises/data=!4m2!3m1!1s0x808f8797cf5b0133:0x32edd284a2bac933!10m1!1e1
