,title,category,latitude,longitude,address,link,monday,tuesday,wednesday,thursday,friday,saturday,sunday,date,time
629,Bothe-Napa Valley State Park,State park,38.542964,-122.537482,"3801 St Helena Hwy, Calistoga, CA 94515",https://www.google.com/maps/place/Bothe-Napa+Valley+State+Park/data=!4m2!3m1!1s0x80845b39149c016d:0x45aa191420dc96a0!10m1!1e1,,,,,,,,,
630,Del Dotto Historic Winery & Caves,Winery,38.339571,-122.263109,"1055 Atlas Peak Rd, Napa, CA 94558",https://www.google.com/maps/place/Del+Dotto+Historic+Winery+%26+Caves/data=!4m2!3m1!1s0x8085041c36c3ebe5:0xaa7fecbc90dd4cc4!10m1!1e1,,,,,,,,,
631,Napa Valley Wine Trolley,Sightseeing tour agency,38.296635,-122.292485,"1754 2nd St b1, Napa, CA 94559",https://www.google.com/maps/place/Napa+Valley+Wine+Trolley/data=!4m2!3m1!1s0x8085065cbfb7812f:0x2d2cea622403df6f!10m1!1e1,,,,,,,,,
632,Trefethen Family Vineyards,Winery,38.360297,-122.332343,"1160 Oak Knoll Ave, Napa, CA 94558",https://www.google.com/maps/place/Trefethen+Family+Vineyards/data=!4m2!3m1!1s0x808500e9148dc4a1:0x8b51e94e43913708!10m1!1e1,,,,,,,,,
633,San Francisco Zoo,Zoo,37.732939,-122.502835,"Sloat Blvd &, Upper Great Hwy, San Francisco, CA 94132",https://www.google.com/maps/place/San+Francisco+Zoo/data=!4m2!3m1!1s0x808f7d71f302a28d:0x75fd486edbc13dd7!10m1!1e1,,,,,,,,,
634,Oakland Zoo,Zoo,37.748663,-122.145417,"9777 Golf Links Rd, Oakland, CA 94605",https://www.google.com/maps/place/Oakland+Zoo/data=!4m2!3m1!1s0x808f8f0df97f81df:0x201a254d74ff8aa!10m1!1e1,,,,,,,,,
635,Aquarium of the Bay,Aquarium,37.808649,-122.40933,"PIER 39 The Embarcadero &, Beach St, San Francisco, CA 94133",https://www.google.com/maps/place/Aquarium+of+the+Bay/data=!4m2!3m1!1s0x808580fc79a6a3af:0x64e4696fbd3f1ffa!10m1!1e1,,,,,,,,,
636,Safari West,Wildlife and safari park,38.556917,-122.695535,"3115 Porter Creek Rd, Santa Rosa, CA 95404",https://www.google.com/maps/place/Safari+West/data=!4m2!3m1!1s0x808440f548e59cb3:0x93f0b90485ffa2d7!10m1!1e1,,,,,,,,,
637,Six Flags Discovery Kingdom,Theme park,38.137699,-122.233481,"1001 Fairgrounds Dr, Vallejo, CA 94589",https://www.google.com/maps/place/Six+Flags+Discovery+Kingdom/data=!4m2!3m1!1s0x80850cce858a7265:0x49892e4325e9ede4!10m1!1e1,,,,,,,,,
638,The Marine Mammal Center,Animal hospital,37.835135,-122.531207,"2000 Bunker Rd, Sausalito, CA 94965",https://www.google.com/maps/place/The+Marine+Mammal+Center/data=!4m2!3m1!1s0x8085858b7fbbf1d5:0x632ba1605aee384a!10m1!1e1,,,,,,,,,
