,date,time,title,image_link,address,event_url,continuous
31,19-04-2024,10:00PM,Cheaper Than Therapy: Stand-Up Comedy,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/251497/37a98ca3-ab32-430b-b621-2879b55d21ba.jpg',533 Sutter St.,http://sf-events.brokeassstuart.com/events/weekly/fri/stand-up-comedy-cheaper-than-therapy,
32,19-04-2024,8:00PM,The Confessional,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/14036314/e72be810-4218-4ff2-a83a-26c0ca4447a8.jpg',2965 Mission Street,http://sf-events.brokeassstuart.com/events/weekly/fri/the-confessional-tickets,
33,19-04-2024,7:00PM,Fashioning San Francisco: A Century of Style,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/15241904/ecc58a3f-80c9-4d80-bfb3-950dc2ba4f06.jpg',50 Hagiwara Tea Garden Drive,http://sf-events.brokeassstuart.com/events/2024/1/20/fashioning-san-francisco-a-century-of-style-tickets,Through Aug 11
34,19-04-2024,10:00PM,Raat,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18849060/d77bd4b0-55d1-4bf8-a347-70de2f47cb02.png',298 11th Street,http://sf-events.brokeassstuart.com/events/2024/4/19/raat-tickets,
35,19-04-2024,7:00PM,TAC Anti-bias Leaders Fellowship,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/13238140/9f8e6fd3-b8a5-4809-8ec7-febfe27044c2.jpg',736 Mission Street,http://sf-events.brokeassstuart.com/events/2023/9/1/tac-anti-bias-leaders-fellowship-tickets,Free - Through May 01
36,19-04-2024,7:00PM,Lee Mingwei: Rituals of Care,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/15241897/8070823b-0438-4122-b684-3cb38c3e2cb8.jpg',50 Hagiwara Tea Garden Drive,http://sf-events.brokeassstuart.com/events/2024/2/17/lee-mingwei-rituals-of-care-tickets,Through Jul 07
37,19-04-2024,7:00PM,Nampeyo and the Sikyátki Revival,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/13248711/c56b1a75-17af-474c-a3fc-ae80f54592ae.jpg',50 Hagiwara Tea Garden Drive,http://sf-events.brokeassstuart.com/events/2023/2/3/nampeyo-and-the-sikyatki-revival-tickets,Through Sep 15
38,19-04-2024,5:00PM,"Friday Nights: Non Stop Bhangra Community Dance Party, Spring Teacher Night + DJ set by Black",'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18715040/b97f3d19-df63-4491-951b-114fa85c5f66.jpg',1000 Oak Street,http://sf-events.brokeassstuart.com/events/2024/4/19/friday-nights-non-stop-bhangra-community-dance-party-spring-teacher-night-and-dj-set-by-black-tickets,
39,19-04-2024,4:30PM,Spring Teacher Night at Friday Nights at OMCA,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18715038/f850aad7-ee10-4892-aebc-249885cb3bb4.jpg',1000 Oak Street,http://sf-events.brokeassstuart.com/events/2024/4/19/spring-teacher-night-at-friday-nights-at-omca-tickets,
40,19-04-2024,7:00PM,Japanese Prints in Transition: From the Floating World to the Modern World,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/15241906/0c922a36-1044-4dfe-acf4-6adf57f4484b.jpg',100 34th Ave.,http://sf-events.brokeassstuart.com/events/2024/4/6/japanese-prints-in-transition-from-the-floating-world-to-the-modern-world-tickets,Through Aug 18
41,19-04-2024,7:00PM,Zuan-cho: Kimono Design in Modern Japan (1868 – 1912),'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/15241917/133a04bf-133d-4dac-b34c-385316e00019.jpg',100 34th Ave.,http://sf-events.brokeassstuart.com/events/2024/3/30/zuan-cho-kimono-design-in-modern-japan-1868-1912-tickets,Through Aug 25
42,19-04-2024,6:30PM,The Old Oak,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18832155/3e031ac1-f5fb-4acc-8d92-d7c14a53753a.webp',3117 16th Street,http://sf-events.brokeassstuart.com/events/2024/4/19/the-old-oak-tickets,
43,19-04-2024,6:00PM,Berlin & Beyond Film Festival,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/19172872/f10efaaa-f927-4bcd-84df-75aeaedcff4a.jpg',3117 16th Street,http://sf-events.brokeassstuart.com/events/2024/4/18/berlin-beyond-film-festival-tickets,Through Apr 20
44,19-04-2024,5:00PM,Survivors Of The Plague x Reversal Of Fortune,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18943847/9bf55a26-cc3b-428a-a97f-aad3a5d6498c.jpg',111 Minna,http://sf-events.brokeassstuart.com/events/2024/4/12/survivors-of-the-plague-x-reversal-of-fortune-tickets,Free - Through Jun 20
45,19-04-2024,10:00AM,"Christo Oropeza: Aun así, pienso en ti",'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/15037546/ac3a3c1a-5b27-4b69-aa71-ae9e4963b913.jpg',Buchanan St. and Marina St,http://sf-events.brokeassstuart.com/events/2023/7/1/christo-oropeza-aun-asi-pienso-en-ti-tickets,Through Jun 30
46,19-04-2024,10:00AM,Matt Passmore: Tied/Untied,'',Buchanan St. and Marina St,http://sf-events.brokeassstuart.com/events/2020/10/27/matt-passmore-tied-untied-tickets,Through Aug 02
47,19-04-2024,10:00AM,Alicia Eggert’s This Present Moment Neon Sculpture Exhibit,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/14866399/3c7b9f64-21a6-4bd7-82d3-f75de76e282d.jpg',Buchanan St. and Marina St,http://sf-events.brokeassstuart.com/events/2023/6/18/alicia-eggert-s-this-present-moment-neon-sculpture-exhibit-tickets,Free - Through May 01
48,19-04-2024,7:00PM,Greens Restaurant Guest Chef Series 2024,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18654280/70e6eaef-25dd-4223-8337-3ed373daea8d.jpg',Buchanan St. and Marina St,http://sf-events.brokeassstuart.com/events/2024/4/3/greens-restaurant-guest-chef-series-2024-tickets,Through Sep 19
49,19-04-2024,10:00AM,St. John Will I Am Coltrane African Orthodox Church At Magic Theatre,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/16337132/bf08ddce-b6c7-421e-9291-f9aa87d1c935.jpg',Buchanan St. and Marina St,http://sf-events.brokeassstuart.com/events/2023/10/2/st-john-will-i-am-coltrane-african-orthodox-church-at-magic-theatre-tickets,Through Sep 28
50,19-04-2024,7:00PM,Sewing 101: Geometric Pillow,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/17803607/6763f968-7024-4f50-b70c-625f529ec3c8.png',1310 Haight St,http://sf-events.brokeassstuart.com/events/2024/4/19/sewing-101-geometric-pillow-tickets,
51,19-04-2024,7:00PM,Weekly Trivia @ MBC!,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18701052/a0e2525c-0f85-44ef-b545-1dcc9b3eb42d.png',3176 17th Street,http://sf-events.brokeassstuart.com/events/2024/4/19/weekly-trivia-mbc-tickets,
52,19-04-2024,7:30PM,Canellakis Conducts Strauss & Ravel,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/14159732/24fbce19-41fa-43da-83fa-5eb81c72bf4f.jpg',Grove Street & Van Ness Avenue,http://sf-events.brokeassstuart.com/events/2024/4/19/canellakis-conducts-strauss-ravel-tickets,
53,19-04-2024,7:30PM,Michael Blaustein,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/16573351/a4907ec9-74d5-408e-9649-c941b4327fe2.jpg',62 S. Second Street,http://sf-events.brokeassstuart.com/events/2024/4/19/michael-blaustein-tickets,
54,19-04-2024,9:45PM,Michael Blaustein,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/16573352/9576d63e-4737-4f67-8afb-bb391177cc4a.jpg',62 S. Second Street,http://sf-events.brokeassstuart.com/events/2024/4/19/michael-blaustein-tickets-oekj5ew,
55,19-04-2024,9:00PM,YOUR FUCKED UP RELATIONSHIP,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/16106107/33f939ac-eb6d-403a-abc8-03a6b48211d8.jpg',2965 Mission Street,http://sf-events.brokeassstuart.com/events/weekly/fri/your-fucked-up-relationship-tickets,
56,19-04-2024,8:00PM,Cheaper Than Therapy: Stand-Up Comedy,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/251249/8afc9963-4e9e-48f4-900c-7536ca9361d3.jpg',533 Sutter St.,http://sf-events.brokeassstuart.com/events/weekly/fri/cheaper-than-therapy-stand-up-comedy,
57,19-04-2024,7:00PM,The Setup at The Valencia Room - Every Friday,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18264506/4a117538-2e54-47df-85b4-97f5fcb7d572.png',647 Valencia Street,http://sf-events.brokeassstuart.com/events/weekly/fri/the-setup-at-the-valencia-room-tickets,
58,19-04-2024,7:00PM,John Crist’s Emotional Support Tour,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/16702439/4076693a-2fb0-4d63-8f8e-9f6e2f3b388a.jpg',50 Mark West Springs Road,http://sf-events.brokeassstuart.com/events/2024/4/19/john-crist-s-emotional-support-tour-tickets,
59,19-04-2024,9:00PM,PETE FLOYD - Premier 8-Piece Pink Floyd Tribute,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/17234033/60eda461-c863-48fd-a003-e755b08db2aa.png',"2367 Shattuck Ave., Berkeley",http://sf-events.brokeassstuart.com/events/2024/4/19/pete-floyd-premier-8-piece-pink-floyd-tribute-tickets,
60,19-04-2024,7:30PM,A Strange Loop,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/19173308/18ac0628-bfc1-4f64-a2ba-6d5fdc357336.jpg',415 Geary Street,http://sf-events.brokeassstuart.com/events/2024/4/18/a-strange-loop-tickets,Through May 12
61,19-04-2024,6:30PM,Comedy Before The Debauchery ,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/15134244/692e64b7-888f-4c76-9fac-e50dcac9c814.jpg',2925 16th Street,http://sf-events.brokeassstuart.com/events/weekly/fri/comedy-before-the-debauchery-tickets,Free - Through Jun 21
